"Player","Pos","Team","Avg","W-1","W-2","W-3","W-4","W-5","W-6","W-7","W-8","W-9","W-10","W-11","W-12","W-13","W-14","W-15","W-16","W-17"
"Saquon Barkley","RB","NYG","0.4955","0.868","0.123","","","","","","","","","","","","","","",""
"David Montgomery","RB","CHI","0.492","0.446","0.538","","","","","","","","","","","","","","",""
"Hunter Renfrow","WR","LVR","0.488","0.476","0.5","","","","","","","","","","","","","","",""
"Dion Lewis","RB","NYG","0.4825","0.088","0.877","","","","","","","","","","","","","","",""
"Demetrius Harris","TE","CHI","0.477","0.4","0.554","","","","","","","","","","","","","","",""
"Harrison Bryant","TE","CLE","0.471","0.425","0.517","","","","","","","","","","","","","","",""
"Drew Sample","TE","CIN","0.47","0.353","0.587","","","","","","","","","","","","","","",""
"Mecole Hardman","WR","KC","0.4695","0.29","0.649","","","","","","","","","","","","","","",""
"Darnell Mooney","WR","CHI","0.4615","0.323","0.6","","","","","","","","","","","","","","",""
"Antonio Gibson","WR","WAS","0.4545","0.257","0.652","","","","","","","","","","","","","","",""
"Zack Moss","RB","BUF","0.4535","0.448","0.459","","","","","","","","","","","","","","",""
"Kaden Smith","TE","NYG","0.4515","0.426","0.477","","","","","","","","","","","","","","",""
"Josh Hill","TE","NO","0.448","0.529","0.367","","","","","","","","","","","","","","",""
"Will Dissly","TE","SEA","0.4475","0.403","0.492","","","","","","","","","","","","","","",""
"Dante Pettis","WR","SF","0.445","0.726","0.164","","","","","","","","","","","","","","",""
"J.D. McKissic","RB","WAS","0.441","0.443","0.439","","","","","","","","","","","","","","",""
"Kenny Stills","WR","HOU","0.4375","0.4","0.475","","","","","","","","","","","","","","",""
"James O'Shaughnessy","TE","JAC","0.4335","0.4","0.467","","","","","","","","","","","","","","",""
"Darren Fells","TE","HOU","0.431","0.455","0.407","","","","","","","","","","","","","","",""
"Marcedes Lewis","TE","GB","0.431","0.41","0.452","","","","","","","","","","","","","","",""
"Gabriel Davis","WR","BUF","0.4275","0.494","0.361","","","","","","","","","","","","","","",""
"Parris Campbell","WR","IND","0.4255","0.824","0.027","","","","","","","","","","","","","","",""
"Kareem Hunt","RB","CLE","0.419","0.493","0.345","","","","","","","","","","","","","","",""
"Van Jefferson","WR","LAR","0.4145","0.452","0.377","","","","","","","","","","","","","","",""
"Jamaal Williams","RB","GB","0.411","0.397","0.425","","","","","","","","","","","","","","",""
"Frank Gore","RB","NYJ","0.4095","0.25","0.569","","","","","","","","","","","","","","",""
"Anthony Miller","WR","CHI","0.4075","0.415","0.4","","","","","","","","","","","","","","",""
"Ronald Jones","RB","TB","0.4075","0.471","0.344","","","","","","","","","","","","","","",""
"Raheem Mostert","RB","SF","0.405","0.597","0.213","","","","","","","","","","","","","","",""
"Courtland Sutton","WR","DEN","0.403","","0.403","","","","","","","","","","","","","","",""
"Javon Wims","WR","CHI","0.4","0.354","0.446","","","","","","","","","","","","","","",""
"Trent Taylor","WR","SF","0.399","0.339","0.459","","","","","","","","","","","","","","",""
"Joshua Kelley","RB","LAC","0.3935","0.269","0.518","","","","","","","","","","","","","","",""
"Tarik Cohen","RB","CHI","0.3925","0.462","0.323","","","","","","","","","","","","","","",""
"Virgil Green","TE","LAC","0.39","0.358","0.422","","","","","","","","","","","","","","",""
