"Year","Player","Age","Position","School","Height","Weight","BMI","SpeedScore","FortyDash","Vertical","Bench","BroadJump","ThreeCone","Shuttle"
"2000","Travis Taylor","21.94","WR","Florida","73","199","26.25","103.34","4.43","37","","118","7.15",""
"2000","Troy Walters","23.22","WR","Stanford","66","171","27.6","72.14","4.55","32.5","","106","6.61","3.84"
"2000","Peter Warrick","22.72","WR","Florida State","71","194","27.05","85.76","4.58","","","","",""
"2000","James Whalen","22.24","TE","Kentucky","74","228","29.27","84.6","4.78","31","","110","7.42","4.22"
"2000","Austin Wheatley","22.3","TE","Iowa","76","254","30.91","107.16","4.66","32.5","","121","6.97","4.18"
"2000","Anthony White","","RB","Kentucky","72","195","26.44","81.3","4.68","32.5","","118","7.05","4.24"
"2000","Dez White","20.54","WR","Georgia Tech","73","218","28.76","95.7","4.62","37.5","","124","6.91","4.09"
"2000","Michael Wiley","22.17","RB","Ohio State","71","193","26.92","94.13","4.5","","","","",""
"2000","Boo Williams","","RB","South Carolina","71","222","30.96","106.37","4.52","","","","",""
"2000","James Williams","22","WR","Marshall","71","180","25.1","78.88","4.59","36","","123","7.22","4.16"
"2000","Destry Wright","","RB","Jackson State","71","216","30.12","78.72","4.84","29.5","15","112","7.15","4.41"
"2000","Spergon Wynn","21.57","QB","Texas State","75","229","28.62","78.8","4.91","34","","108","7.71","4.59"
"2000","Bashir Yamini","22.49","WR","Iowa","75","191","23.87","93.2","4.53","33","","130","7.09","4.18"
"2001","David Allen","23.07","RB","Kansas State","69","194","28.65","85.17","4.62","31","15","111","",""
"2001","Scotty Anderson","21.28","WR","Grambling State","74","184","23.62","85.52","4.57","34.5","","115","",""
"2001","Billy Baber","22.13","TE","Virginia","76","255","31.04","98.82","4.76","33","22","106","7.12","4.19"
"2001","Alex Bannister","21.87","WR","East. Kentucky","77","201","23.83","106.21","4.47","30.5","","110","",""
"2001","Kevan Barlow","22.16","RB","Pittsburgh","73","235","31","108.7","4.56","","","","",""
"2001","Jonathan Beasley","","QB","Kansas State","72","227","30.78","82.05","4.85","29.5","","102","7.55","4.38"
"2001","Michael Bennett","22.56","RB","Wisconsin","69","207","30.57","112.49","4.38","39.5","13","130","",""
"2001","Eddie Berlin","23.14","WR","New Mexico","71","191","26.64","96.47","4.43","39.5","","122","6.78","4.08"
"2001","Darvell Bivens","","RB","NW State (LA)","70","255","36.58","83.59","4.97","33.5","32","108","7.81","4.38"
"2001","Derrick Blaylock","21.54","RB","Stephen F. Austin","70","194","27.83","107.37","4.36","35.5","18","119","7.05","4.09"
"2001","Josh Booty","","QB","LSU","74","221","28.37","76.67","4.9","29.5","","105","7.54","4.48"
"2001","Drew Brees","22.14","QB","Purdue","72","213","28.88","78.27","4.83","32","","105","7.09","4.21"
"2001","Sean Brewer","23.42","TE","San Jose State","76","255","31.04","101.36","4.73","36","14","117","7.37","4.18"
"2001","Corey Brown","","WR","Tulsa","72","202","27.39","86.71","4.63","39.5","","126","",""
"2001","Correll Buckhalter","22.42","RB","Nebraska","72","226","30.65","107.34","4.53","40","11","123","7.08","4.06"
"2001","Adrian Burnette","","WR","Tulane","70","191","27.4","79.71","4.63","","","","",""
"2001","John Capel","","WR","Florida","71","177","24.68","92.7","4.39","36.5","","126","",""
"2001","Elliott Carson","","TE","Vanderbilt","76","246","29.94","84.9","4.9","36","16","115","7.52","4.21"
"2001","Quincy Carter","23.4","QB","Georgia","74","225","28.89","102.27","4.58","35.5","","113","7.12","4.12"
"2001","Chris Chambers","22.57","WR","Wisconsin","72","210","28.48","117.84","4.33","45","","134","","4"
"2001","Jeff Chaney","","RB","Florida State","71","193","26.92","97.55","4.46","","","","",""
"2001","Kenny Clark","22.81","WR","Central Florida","73","225","29.68","101.38","4.59","35.5","","121","",""
"2001","Justin Coleman","","QB","Nebraska-Kearney","76","238","28.97","64.11","5.22","29.5","","101","7.78","4.62"
"2001","Derek Combs","22.02","RB","Ohio State","72","193","26.17","101.13","4.42","35","8","120","6.96","4.07"
"2001","Jameel Cook","22.07","RB","Illinois","70","226","32.42","85.15","4.8","29.5","17","108","7.55","4.38"
"2001","Corey Crume","","RB","East. Kentucky","71","225","31.38","87.66","4.76","37","15","115","7.36","4.32"
"2001","Alge Crumpler","23.2","TE","North Carolina","74","266","34.15","100.37","4.76","34","22","112","7.38","4.43"
"2001","Ronney Daniels","","WR","Auburn","73","212","27.97","93.88","4.61","34.5","","118","",""
"2001","Heath Evans","22.18","RB","Auburn","72","246","33.36","113.79","4.56","34.5","30","111","7.3","4.24"
"2001","Robert Ferguson","21.22","WR","Texas A&M","73","205","27.04","101.78","4.48","36.5","","120","7.24","4.07"
"2001","Dauntae' Finger","","TE","North Carolina","76","262","31.89","77.66","5.09","33.5","15","103","7.95","4.59"
"2001","Richmond Flowers","","WR","Tenn-Chattanooga","71","195","27.19","88.5","4.55","35.5","","114","6.98","3.96"
"2001","Rod Gardner","23.36","WR","Clemson","74","219","28.11","110.22","4.48","","","","",""
"2001","Reggie Germany","22.97","WR","Ohio State","73","183","24.14","98.54","4.39","","","","",""
"2001","Javon Green","","WR","Colorado","73","211","27.84","84.31","4.73","35.5","","113","7.41","4.34"
"2001","Shane Griggs","","QB","Michigan","76","199","24.22","73.13","4.83","","","","",""
"2001","Latef Grim","","WR","Pittsburgh","71","188","26.22","81.68","4.6","","","111","7.27","4.33"
"2001","Daniel Guy","","WR","Jackson State","74","211","27.09","94.71","4.61","38.5","","125","7.35","4.29"
"2001","Antoine Harris","18.91","TE","Louisville","75","260","32.49","86.41","4.93","","11","","",""
"2001","Tim Hasselbeck","22.92","QB","Boston Col.","73","211","27.84","77.54","4.83","33","","113","7.27","4.4"
"2001","Todd Heap","20.97","TE","Arizona State","77","252","29.88","105.89","4.68","","","","",""
"2001","Travis Henry","22.35","RB","Tennessee","69","223","32.93","98.75","4.61","","23","","",""
"2001","Josh Heupel","","QB","Oklahoma","74","215","27.6","77.71","4.85","37.5","","114","7.18","4.15"
"2001","Jabari Holloway","22.22","TE","Notre Dame","74","253","32.48","84.33","4.91","38.5","20","113","7.14","4.4"
"2001","Derek Homer","","RB","Kentucky","68","194","29.49","86.66","4.6","32.5","","113","7.24","4.3"
"2001","Margin Hooks","","WR","BYU","71","191","26.64","90.6","4.5","36","","116","7.08","4.18"
"2001","Khori Ivy","","WR","West Virginia","74","195","25.03","85.29","4.64","","","","",""
"2001","James Jackson","24.59","RB","Miami (FL)","70","210","30.13","97.99","4.55","","","","",""
"2001","Arnold Jackson","23.91","WR","Louisville","68","167","25.39","77.24","4.48","41","","127","7.42","4.11"
"2001","Cedric James","21.97","WR","TCU","74","204","26.19","101.76","4.49","43","","134","",""
"2001","Ortege Jenkins","","QB","Arizona","73","234","30.87","86.71","4.82","34.5","","108","7.32","4.4"
"2001","Sly Johnson","","WR","Miami (OH)","69","181","26.73","75.76","4.61","35.5","","115","",""
"2001","Rudi Johnson","21.43","RB","Auburn","70","227","32.57","104.09","4.57","37.5","24","119","7.32","4.22"
"2001","Jevaris Johnson","","TE","Georgia","77","257","30.47","89.86","4.9","","","","",""
"2001","Chad Johnson","23.16","WR","Oregon State","73","192","25.33","88.04","4.57","33","","108","7.51","4.14"
"2001","Lamont Jordan","22.32","RB","Maryland","70","234","33.57","107.3","4.57","","24","","",""
"2001","Kevin Kasper","23.2","WR","Iowa","72","199","26.99","102.85","4.42","43.5","","126","6.56","3.73"
"2001","Robert Kilow","","WR","Arkansas State","70","171","24.53","84.39","4.44","","","","",""
"2001","Andre King","27.28","WR","Miami (FL)","72","199","26.99","86.91","4.61","","","","",""
"2001","Dave Klemic","","WR","Northeastern (MA)","71","188","26.22","100.28","4.37","36.5","","116","",""
"2001","George Layne","22.41","RB","TCU","71","242","33.75","109.04","4.59","32","","115","7.08","4.19"
"2001","Cleo Lemon","21.56","QB","Arkansas State","74","226","29.01","80.36","4.87","35.5","","106","7.33","4.27"
"2001","Arther Love","","TE","South Carolina State","76","236","28.72","92.23","4.75","36","24","","",""
"2001","Brandon Manumaleuna","21.17","TE","Arizona","74","275","35.3","85.92","4.99","30","","106","7.49","4.26"
"2001","David Martin","21.98","WR","Tennessee","76","242","29.45","98.15","4.76","","","","",""
"2001","Deuce McAllister","22.19","RB","Mississippi","73","222","29.29","117.39","4.41","","","","",""
