name,position,team,value
"Dalton Schultz",TE,DAL,28.7572
"Tevin Coleman",RB,SFO,28.704
"Rashaad Penny",RB,SEA,28.6275
"Nick Mullens",QB,SFO,28.5762
"Darrynton Evans",RB,TEN,28.5159
2022.3,0,0,27.7881
2020.3.11,0,0,27.7881
"Cole Beasley",WR,BUF,27.7044
"Adrian Peterson",RB,DET,27.5785
"Tre'Quan Smith",WR,NOS,27.3043
"Malcolm Brown",RB,LAR,27.2479
"Jacoby Brissett",QB,IND,25.9799
2020.3.12,0,0,25.5237
"DeSean Jackson",WR,PHI,25.2658
"Ian Thomas",TE,CAR,25.1931
"Eric Ebron",TE,PIT,25.087
"Anthony McFarland",RB,PIT,24.7606
"Chris Thompson",RB,JAC,24.6422
"Tyrell Williams",WR,LVR,24.5184
"Marcus Mariota",QB,LVR,24.1628
"Justice Hill",RB,BAL,23.5732
2020.4.01,0,0,23.4438
"Jacob Eason",QB,IND,23.0815
"Quintez Cephus",WR,DET,23.0535
"Jack Doyle",TE,IND,23.0137
"Darnell Mooney",WR,CHI,22.9736
"David Njoku",TE,CLE,22.2076
2020.4.02,0,0,21.5335
"Ryan Griffin",TE,NYJ,20.7543
"Adam Trautman",TE,NOS,20.566
"Gabriel Davis",WR,BUF,20.1939
"Jordan Reed",TE,SFO,20.1366
2020.4.03,0,0,19.7787
"Dawson Knox",TE,BUF,19.4828
"Justin Jackson",RB,LAC,18.7091
"Carlos Hyde",RB,SEA,18.5747
"Lynn Bowden",RB,MIA,18.2743
"Keelan Cole",WR,JAC,18.1726
2020.4.04,0,0,18.167
"Will Dissly",TE,SEA,17.9899
"JJ Arcega-Whiteside",WR,PHI,17.9837
"Antonio Gandy-Golden",WR,WAS,17.7592
"Jimmy Graham",TE,CHI,17.6823
"Breshad Perriman",WR,NYJ,17.6006
"Ryquell Armstead",RB,JAC,17.4285
"Devin Duvernay",WR,BAL,17.1081
2020.4.05,0,0,16.6866
"DeeJay Dallas",RB,SEA,15.4046
2020.4.06,0,0,15.3269
"Larry Fitzgerald",WR,ARI,14.9337
"Lamical Perine",RB,NYJ,14.8202
"Greg Olsen",TE,SEA,14.6985
"John Ross",WR,CIN,14.4341
"Giovani Bernard",RB,CIN,14.3465
"Antonio Brown",WR,FA,14.1901
"Taysom Hill",QB,NOS,14.0803
2020.4.07,0,0,14.0779
"Steven Sims",WR,WAS,13.9981
"Josh Reynolds",WR,LAR,13.5368
"Jamaal Williams",RB,GBP,13.4346
2020.4.08,0,0,12.9307
"Darrel Williams",RB,KCC,12.7429
2020.4.09,0,0,11.8771
2021.4,0,0,11.8771
2020.4.10,0,0,10.9092
"Danny Amendola",WR,DET,10.7844
"Jordan Akins",TE,HOU,10.3597
2020.4.11,0,0,10.0203
2022.4,0,0,10.0203
2020.5.05,0,0,10
2020.5.02,0,0,10
2020.5.03,0,0,10
2020.5.04,0,0,10
2022.5,0,0,10
2020.5.06,0,0,10
2020.5.07,0,0,10
2020.5.09,0,0,10
2020.5.10,0,0,10
2020.5.11,0,0,10
2020.5.12,0,0,10
2021.5,0,0,10
2020.5.08,0,0,10
2020.5.01,0,0,10
2020.4.12,0,0,10
"Tyler Eifert",TE,JAC,9.9885
"Chris Conley",WR,JAC,9.8637
"Devin Asiasi",TE,NEP,9.6297
"Kendrick Bourne",WR,SFO,9.2668
"Greg Ward",WR,PHI,9.2056
"Randall Cobb",WR,HOU,9.0422
"CJ Uzomah",TE,CIN,9.0347
"Frank Gore",RB,NYJ,8.9203
"Jace Sternberger",TE,GBP,8.8329
"Devine Ozigbo",RB,JAC,8.591
"Isaiah Ford",WR,MIA,8.5175
"Dede Westbrook",WR,JAC,8.4384
"Kyle Rudolph",TE,MIN,8.406
"Royce Freeman",RB,DEN,8.3376
"Jalen Richard",RB,LVR,8.1797
"Eno Benjamin",RB,ARI,8.096
"Tyler Johnson",WR,TBB,7.3212
"Olabisi Johnson",WR,MIN,7.2808
"Auden Tate",WR,CIN,7.1403
"Mike Thomas",WR,CIN,6.8327
"JD McKissic",RB,WAS,6.7568
