Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Blake Jarwin,DAL,TE,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Boston Scott,PHI,RB,2018,1,39,40,19,72,381,35,48.6%,31.6%,7.5,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,4,0,0.00%,2.0,0,0,0.00%,0,0,2,4,10.30%,0,50%,0,-,5,2.5,1.3,2.0,0,0.00%,0.13,8,2.10%,0.17,0.63,2,4,9,0,0.13,2.9,-7.7,51
Brandin Cooks,HOU,WR,2014,1,37,38,27,72,327,63,87.5%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,9,9,24.30%,0,100%,0,-,68,7.6,7.6,6.8,1,11.10%,1.79,61,18.70%,0.50,1.11,7,9,68,1,0.94,21.8,4.1,6
Brandon Aiyuk,SF,WR,2020,1,32,33,41,73,145,62,84.9%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,2,3,9.40%,0,67%,0,-,12,6.0,4.0,14.0,1,50.00%,0.36,42,29.00%,0.34,0.29,14,2,12,1,0.16,9.2,3.3,43
Breshad Perriman,NYJ,WR,2015,1,39,44,29,71,396,63,88.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,4,8,20.50%,0,50%,0,-,62,15.5,7.8,16.8,0,0.00%,1.41,134,33.80%,0.54,0.46,35,4,62,0,0.87,10.2,-1.1,37
Brett Rypien,DEN,QB,2019,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,0,0,0,-,0.0,0.0,-
Brian Hill,ATL,RB,2017,1,37,40,40,80,270,21,26.3%,30.0%,9.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,10,28,0,0.00%,2.8,0,0,0.00%,0,1,2,2,5.40%,0,100%,0,-,6,3.0,3.0,2.5,0,0.00%,0.15,5,1.90%,0.09,1.20,1,12,34,0,0.43,3.4,-3.1,47
Brian Hoyer,NE,QB,2011,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,0,0,0,-,0.0,0.0,-
Bryan Edwards,LV,WR,2020,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Calvin Ridley,ATL,WR,2018,1,37,40,40,80,270,59,73.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,8,0,0.00%,8.0,-,-,-,-,0,6,7,18.90%,0,86%,0,-,61,10.2,8.7,8.0,1,16.70%,1.53,56,20.70%,0.43,1.09,19,7,69,1,0.86,18.9,4.9,9
